COUNTRY,Country,SERIES,Series,PERIOD,Pay period,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,9.1825686,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,9.2985718,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,9.4582601,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,9.7750776,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,10.152627,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,10.406737,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,10.518373,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,10.536539,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,10.722945,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,10.645537,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,10.637676,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,10.769234,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,10.814635,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,10.874104,,
FRA,France,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,10.961275,,
DEU,Germany,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,9.7921472,,
GRC,Greece,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,4.0142429,,
GRC,Greece,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,4.0129193,,
GRC,Greece,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,4.0785108,,
GRC,Greece,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,4.1403057,,
GRC,Greece,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,4.2292545,,
GRC,Greece,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,4.3113718,,
GRC,Greece,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,4.4365404,,
